virus,reference,hi
EPI407961,EPI326206,0.742424242424244
EPI416435,EPI326206,0.742424242424244
EPI404895,EPI326206,0.742424242424244
EPI407961,EPI319590,0.88826815642458
EPI416435,EPI319590,0.88826815642458
EPI404895,EPI319590,0.88826815642458
EPI407961,EPI309633,0.5197368421052655
EPI416435,EPI309633,0.5197368421052655
EPI404895,EPI309633,0.5197368421052655
EPI407961,EPI316435,1.1472868217054248
EPI416435,EPI316435,1.1472868217054248
EPI404895,EPI316435,1.1472868217054248
EPI407961,EPI390473,0.0
EPI407961,EPI1853200,0.0
EPI416435,EPI390473,0.0
EPI416435,EPI1853200,0.0
EPI404895,EPI390473,0.0
EPI404895,EPI1853200,0.0
EPI405790,EPI1161425,0.0
EPI405790,EPI617718,0.0
EPI405790,EPI326206,0.0
EPI405790,EPI319590,0.0
EPI405790,EPI309633,0.0
EPI405790,EPI316435,0.0
EPI405798,EPI1161425,0.0
EPI405798,EPI617718,0.0
EPI405798,EPI326206,0.0
EPI405798,EPI319590,0.0
EPI405798,EPI309633,0.0
EPI405798,EPI316435,0.0
EPI405805,EPI1161425,0.0
EPI405805,EPI617718,0.0
EPI405805,EPI326206,0.0
EPI405805,EPI319590,0.0
EPI405805,EPI309633,0.0
EPI405805,EPI316435,0.0
EPI405807,EPI1161425,0.0
EPI405807,EPI617718,0.0
EPI405807,EPI326206,0.0
EPI405807,EPI319590,0.0
EPI405807,EPI309633,0.0
EPI405807,EPI316435,0.0
EPI405792,EPI1161425,0.0
EPI405792,EPI617718,0.0
EPI405792,EPI326206,0.0
EPI405792,EPI319590,0.0
EPI405792,EPI309633,0.0
EPI405792,EPI316435,0.0
EPI405835,EPI1161425,0.0
EPI405835,EPI617718,0.0
EPI405835,EPI326206,0.0
EPI405835,EPI319590,0.0
EPI405835,EPI309633,0.0
EPI405835,EPI316435,0.0
EPI405788,EPI1161425,0.0
EPI405788,EPI617718,0.0
EPI405788,EPI326206,0.0
EPI405788,EPI319590,0.0
EPI405788,EPI309633,0.0
EPI405788,EPI316435,0.0
EPI405831,EPI1161425,0.0
EPI405831,EPI617718,0.0
EPI405831,EPI326206,0.0
EPI405831,EPI319590,0.0
EPI405831,EPI309633,0.0
EPI405831,EPI316435,0.0
EPI405809,EPI1161425,0.0
EPI405809,EPI617718,0.0
EPI405809,EPI326206,0.0
EPI405809,EPI319590,0.0
EPI405809,EPI309633,0.0
EPI405809,EPI316435,0.0
EPI417120,EPI1161425,0.0
EPI417120,EPI617718,0.0
EPI417120,EPI2079749,1.0790598290598314
EPI417120,EPI326206,0.0
EPI417120,EPI319590,0.0
EPI417120,EPI309633,0.0
EPI417120,EPI316435,0.0
EPI417120,EPI390473,0.0
EPI417120,EPI1853200,0.0
EPI417140,EPI1161425,0.687804878048782
EPI417140,EPI617718,0.687804878048782
EPI417140,EPI2079749,2.8290598290598314
EPI417140,EPI326206,0.0
EPI417140,EPI319590,0.88826815642458
EPI417140,EPI309633,0.0
EPI417140,EPI316435,0.14728682170542484
EPI417140,EPI390473,0.0
EPI417140,EPI1853200,0.0
EPI416413,EPI1161425,0.343902439024391
EPI416413,EPI617718,0.343902439024391
EPI416413,EPI2079749,2.0790598290598314
EPI416413,EPI326206,0.0
EPI416413,EPI319590,0.0
EPI416413,EPI309633,0.0
EPI416413,EPI316435,0.11046511627906863
EPI416413,EPI390473,0.0
EPI416413,EPI1853200,0.0
EPI416429,EPI1161425,0.0
EPI416429,EPI617718,0.0
EPI416429,EPI2079749,1.8290598290598314
EPI416429,EPI326206,0.0
EPI416429,EPI319590,0.0
EPI416429,EPI309633,0.0
EPI416429,EPI316435,0.0
EPI416429,EPI390473,0.0
EPI416429,EPI1853200,0.0
EPI416425,EPI1161425,0.0
EPI416425,EPI617718,0.0
EPI416425,EPI2079749,1.8290598290598314
EPI416425,EPI326206,0.0
EPI416425,EPI319590,0.0
EPI416425,EPI309633,0.0
EPI416425,EPI316435,0.14728682170542484
EPI416425,EPI390473,0.0
EPI416425,EPI1853200,0.0
EPI416437,EPI1161425,0.343902439024391
EPI416437,EPI617718,0.343902439024391
EPI416437,EPI2079749,2.3290598290598314
EPI416437,EPI326206,0.0
EPI416437,EPI319590,0.0
EPI416437,EPI309633,0.0
EPI416437,EPI316435,0.07364341085271242
EPI416437,EPI390473,0.0
EPI416437,EPI1853200,0.0
EPI417130,EPI1161425,0.687804878048782
EPI417130,EPI617718,0.687804878048782
EPI417130,EPI2079749,3.8290598290598314
EPI417130,EPI326206,0.0
EPI417130,EPI319590,0.88826815642458
EPI417130,EPI309633,0.5197368421052655
EPI417130,EPI316435,0.14728682170542484
EPI417130,EPI390473,0.0
EPI417130,EPI1853200,0.0
EPI417126,EPI1161425,1.687804878048782
EPI417126,EPI617718,1.687804878048782
EPI417126,EPI2079749,4.829059829059831
EPI417126,EPI326206,1.742424242424244
EPI417126,EPI319590,1.88826815642458
EPI417126,EPI309633,1.5197368421052655
EPI417126,EPI316435,1.1472868217054248
EPI417126,EPI390473,0.4127906976744171
EPI417126,EPI1853200,0.4127906976744171
EPI347557,EPI1161425,0.2751219512195128
EPI347557,EPI617718,0.2751219512195128
EPI347557,EPI2079749,3.229059829059831
EPI347557,EPI326206,0.0
EPI347557,EPI319590,0.355307262569832
EPI347557,EPI309633,0.0
EPI347557,EPI316435,0.08837209302325491
EPI347557,EPI390473,0.0
EPI347557,EPI1853200,0.0
EPI417122,EPI1161425,0.0
EPI417122,EPI617718,0.0
EPI417122,EPI2079749,1.8290598290598314
EPI417122,EPI326206,0.0
EPI417122,EPI319590,0.0
EPI417122,EPI309633,0.0
EPI417122,EPI316435,0.0
EPI417122,EPI390473,0.0
EPI417122,EPI1853200,0.0
EPI417142,EPI1161425,0.0
EPI417142,EPI617718,0.0
EPI417044,EPI1161425,0.0
EPI417044,EPI617718,0.0
EPI417142,EPI2079749,1.8290598290598314
EPI417044,EPI2079749,1.8290598290598314
EPI417142,EPI326206,0.0
EPI417044,EPI326206,0.0
EPI417142,EPI319590,0.0
EPI417044,EPI319590,0.0
EPI417142,EPI309633,0.0
EPI417044,EPI309633,0.0
EPI417142,EPI316435,0.0
EPI417044,EPI316435,0.0
EPI417142,EPI390473,0.0
EPI417142,EPI1853200,0.0
EPI417044,EPI390473,0.0
EPI417044,EPI1853200,0.0
EPI417037,EPI1161425,0.687804878048782
EPI417037,EPI617718,0.687804878048782
EPI417037,EPI2079749,3.8290598290598314
EPI417037,EPI326206,0.742424242424244
EPI417037,EPI319590,1.88826815642458
EPI417037,EPI309633,0.5197368421052655
EPI417037,EPI316435,1.1472868217054248
EPI417037,EPI390473,0.0
EPI417037,EPI1853200,0.0
EPI418082,EPI1161425,0.0
EPI418082,EPI617718,0.0
EPI417136,EPI1161425,0.0
EPI417136,EPI617718,0.0
EPI418082,EPI2079749,2.8290598290598314
EPI417136,EPI2079749,2.8290598290598314
EPI418082,EPI326206,0.0
EPI417136,EPI326206,0.0
EPI418082,EPI319590,0.0
EPI417136,EPI319590,0.0
EPI418082,EPI309633,0.0
EPI417136,EPI309633,0.0
EPI418082,EPI316435,0.14728682170542484
EPI417136,EPI316435,0.14728682170542484
EPI418082,EPI390473,0.0
EPI418082,EPI1853200,0.0
EPI417136,EPI390473,0.0
EPI417136,EPI1853200,0.0
EPI986966,EPI1161425,0.5028632025450697
EPI986966,EPI617718,0.5028632025450697
EPI986966,EPI2079749,2.6261612783351946
EPI986966,EPI326206,0.2198067632850244
EPI986966,EPI319590,0.3772592836017085
EPI986966,EPI309633,0.22950038138825382
EPI986966,EPI316435,0.48736097067745093
EPI986966,EPI390473,0.06488035052241309
EPI986966,EPI1853200,0.06488035052241309
EPI425989,EPI1161425,0.687804878048782
EPI425989,EPI617718,0.687804878048782
EPI425989,EPI2079749,2.8290598290598314
EPI425989,EPI326206,0.742424242424244
EPI425989,EPI319590,0.0
EPI425989,EPI309633,0.0
EPI425989,EPI316435,0.14728682170542484
EPI425989,EPI390473,0.0
EPI425989,EPI1853200,0.0
EPI487237,EPI1161425,0.105816135084428
EPI487237,EPI617718,0.105816135084428
EPI487237,EPI2079749,2.5982905982906
EPI487237,EPI326206,0.0
EPI487237,EPI319590,0.1366566394499354
EPI487237,EPI309633,0.0
EPI487237,EPI316435,0.09063804412641528
EPI487237,EPI390473,0.0
EPI487237,EPI1853200,0.0
EPI417156,EPI1161425,0.687804878048782
EPI417156,EPI617718,0.687804878048782
EPI417156,EPI2079749,3.8290598290598314
EPI417156,EPI326206,0.742424242424244
EPI417156,EPI319590,0.88826815642458
EPI417156,EPI309633,0.5197368421052655
EPI417156,EPI316435,1.1472868217054248
EPI417156,EPI390473,0.0
EPI417156,EPI1853200,0.0
EPI406035,EPI1161425,0.687804878048782
EPI406035,EPI617718,0.687804878048782
EPI418110,EPI1161425,0.687804878048782
EPI418110,EPI617718,0.687804878048782
EPI406035,EPI2079749,2.8290598290598314
EPI418110,EPI2079749,2.8290598290598314
EPI406035,EPI326206,0.0
EPI418110,EPI326206,0.0
EPI406035,EPI319590,0.0
EPI418110,EPI319590,0.0
EPI406035,EPI309633,0.0
EPI418110,EPI309633,0.0
EPI406035,EPI316435,0.14728682170542484
EPI418110,EPI316435,0.14728682170542484
EPI406035,EPI390473,0.0
EPI406035,EPI1853200,0.0
EPI418110,EPI390473,0.0
EPI418110,EPI1853200,0.0
EPI404820,EPI1161425,1.687804878048782
EPI404820,EPI617718,1.687804878048782
EPI404828,EPI1161425,1.687804878048782
EPI404828,EPI617718,1.687804878048782
EPI397695,EPI1161425,1.687804878048782
EPI397695,EPI617718,1.687804878048782
EPI397465,EPI1161425,1.687804878048782
EPI397465,EPI617718,1.687804878048782
EPI404820,EPI2079749,4.829059829059831
EPI404828,EPI2079749,4.829059829059831
EPI397695,EPI2079749,4.829059829059831
EPI397465,EPI2079749,4.829059829059831
EPI404820,EPI326206,2.742424242424244
EPI404828,EPI326206,2.742424242424244
EPI397695,EPI326206,2.742424242424244
EPI397465,EPI326206,2.742424242424244
EPI404820,EPI319590,2.88826815642458
EPI404828,EPI319590,2.88826815642458
EPI397695,EPI319590,2.88826815642458
EPI397465,EPI319590,2.88826815642458
EPI404820,EPI309633,3.5197368421052655
EPI404828,EPI309633,3.5197368421052655
EPI397695,EPI309633,3.5197368421052655
EPI397465,EPI309633,3.5197368421052655
EPI404820,EPI316435,4.147286821705425
EPI404828,EPI316435,4.147286821705425
EPI397695,EPI316435,4.147286821705425
EPI397465,EPI316435,4.147286821705425
EPI404820,EPI390473,1.4127906976744171
EPI404820,EPI1853200,1.4127906976744171
EPI404828,EPI390473,1.4127906976744171
EPI404828,EPI1853200,1.4127906976744171
EPI397695,EPI390473,1.4127906976744171
EPI397695,EPI1853200,1.4127906976744171
EPI397465,EPI390473,1.4127906976744171
EPI397465,EPI1853200,1.4127906976744171
EPI418246,EPI1161425,0.687804878048782
EPI418246,EPI617718,0.687804878048782
EPI406026,EPI1161425,0.687804878048782
EPI406026,EPI617718,0.687804878048782
EPI418246,EPI2079749,2.8290598290598314
EPI406026,EPI2079749,2.8290598290598314
EPI418246,EPI326206,0.0
EPI406026,EPI326206,0.0
EPI418246,EPI319590,0.0
EPI406026,EPI319590,0.0
EPI418246,EPI309633,0.5197368421052655
EPI406026,EPI309633,0.5197368421052655
EPI418246,EPI316435,0.14728682170542484
EPI406026,EPI316435,0.14728682170542484
EPI418246,EPI390473,0.0
EPI418246,EPI1853200,0.0
EPI406026,EPI390473,0.0
EPI406026,EPI1853200,0.0
EPI426005,EPI1161425,0.0
EPI426005,EPI617718,0.0
EPI426005,EPI2079749,1.8290598290598314
EPI426005,EPI326206,0.0
EPI426005,EPI319590,0.0
EPI426005,EPI309633,0.0
EPI426005,EPI316435,0.14728682170542484
EPI426005,EPI390473,0.0
EPI426005,EPI1853200,0.0
EPI417116,EPI1161425,0.0
EPI417116,EPI617718,0.0
EPI417116,EPI2079749,2.8290598290598314
EPI417116,EPI326206,0.0
EPI417116,EPI319590,0.0
EPI417116,EPI309633,0.0
EPI417116,EPI316435,0.14728682170542484
EPI417116,EPI390473,0.0
EPI417116,EPI1853200,0.0
EPI426003,EPI1161425,2.687804878048782
EPI426003,EPI617718,2.687804878048782
EPI426003,EPI2079749,5.829059829059831
EPI426003,EPI326206,3.742424242424244
EPI426003,EPI319590,3.88826815642458
EPI426003,EPI309633,2.5197368421052655
EPI426003,EPI316435,5.147286821705425
EPI426003,EPI390473,1.4127906976744171
EPI426003,EPI1853200,1.4127906976744171
EPI425966,EPI1161425,0.0
EPI425966,EPI617718,0.0
EPI425966,EPI2079749,1.8290598290598314
EPI425966,EPI326206,0.0
EPI425966,EPI319590,0.0
EPI425966,EPI309633,0.0
EPI425966,EPI316435,0.0
EPI425966,EPI390473,0.0
EPI425966,EPI1853200,0.0
EPI426013,EPI1161425,0.0
EPI426013,EPI617718,0.0
EPI426013,EPI2079749,1.8290598290598314
EPI426013,EPI326206,0.0
EPI426013,EPI319590,0.0
EPI426013,EPI309633,0.0
EPI426013,EPI316435,0.14728682170542484
EPI426013,EPI390473,0.0
EPI426013,EPI1853200,0.0
EPI417144,EPI1161425,0.395934959349594
EPI417144,EPI617718,0.395934959349594
EPI417144,EPI2079749,2.3290598290598314
EPI417144,EPI326206,0.12373737373737399
EPI417144,EPI319590,0.29608938547486
EPI417144,EPI309633,0.1732456140350885
EPI417144,EPI316435,0.2648578811369499
EPI417144,EPI390473,0.0
EPI417144,EPI1853200,0.0
EPI417158,EPI1161425,0.0
